City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,iskateley,67.6803,53.1512,-3.43,92,70,2.69,RU,1684015844
201,marondera,-18.1853,31.5519,15.0,64,90,2.47,ZW,1684016201
202,takoradi,4.8845,-1.7554,27.57,85,87,3.39,GH,1684016201
203,ancud,-41.8697,-73.8203,12.73,94,100,5.0,CL,1684015883
204,igarka,67.4667,86.5833,-6.25,94,100,8.05,RU,1684015899
205,peterhead,57.5058,-1.7981,9.14,90,100,8.34,GB,1684016202
206,ocean city,39.2776,-74.5746,20.1,86,100,1.79,US,1684015824
207,longyearbyen,78.2186,15.6401,-2.09,80,75,7.72,SJ,1684015816
208,wynyard,-41.0,145.7167,7.21,89,7,2.05,AU,1684016095
209,zychlin,52.244,19.6261,9.64,84,6,3.32,PL,1684016203
210,hammerfest,70.6634,23.6821,7.25,76,100,10.8,NO,1684015824
211,rio grande,-32.035,-52.0986,18.06,69,96,1.65,BR,1684015803
212,gordonvale,-17.0936,145.7842,24.97,87,72,2.86,AU,1684016025
213,galliano,29.4422,-90.2992,30.0,70,75,3.6,US,1684015992
214,beichengqu,40.4394,113.1536,13.77,36,32,1.02,CN,1684016204
215,gaiman,-43.2897,-65.4929,17.74,49,100,3.28,AR,1684016204
216,georgetown,5.4112,100.3354,25.96,94,40,0.0,MY,1684015691
217,punta del este,-34.9667,-54.95,16.04,90,75,4.92,UY,1684016205
218,thompson,55.7435,-97.8558,24.19,19,0,2.99,CA,1684015862
219,kodiak,57.79,-152.4072,5.73,93,100,5.14,US,1684015854
220,cidreira,-30.1811,-50.2056,16.41,66,40,1.42,BR,1684016206
221,eket,4.6412,7.9209,27.11,82,94,2.81,NG,1684016206
222,dwarka,22.2394,68.9678,28.25,83,0,5.42,IN,1684016206
223,codrington,-38.2667,141.9667,8.77,83,0,3.64,AU,1684015950
224,enniskillen,54.3461,-7.6413,10.97,84,100,1.57,GB,1684016207
225,aasiaat,68.7098,-52.8699,-2.83,73,100,4.7,GL,1684015855
226,taltal,-25.4,-70.4833,19.39,77,25,1.96,CL,1684015821
227,nemuro,43.3236,145.575,7.61,90,100,4.21,JP,1684015849
228,byerazino,53.8391,28.9879,10.85,67,15,0.92,BY,1684016208
229,boyolangu,-8.1181,111.8935,22.92,90,54,1.37,ID,1684016208
230,nadi,-17.8,177.4167,28.0,69,40,5.66,FJ,1684016208
231,san juanito,28.0,-107.5833,22.71,5,3,7.37,MX,1684016208
232,jikamshi,12.1733,7.7742,31.34,13,72,3.17,NG,1684016209
233,noumea,-22.2763,166.4572,24.44,99,100,6.51,NC,1684015852
234,palmer,42.1584,-72.3287,25.12,20,70,1.34,US,1684016209
235,sao joao da barra,-21.6403,-41.0511,21.05,71,70,4.59,BR,1684015857
236,taunggyi,20.7833,97.0333,17.41,94,100,1.46,MM,1684016209
237,kushiro,42.975,144.3747,9.45,86,100,1.57,JP,1684016115
238,kamensk-ural'skiy,56.4185,61.9329,3.38,91,55,2.94,RU,1684016210
239,nova vicosa,-17.8919,-39.3719,23.97,79,12,4.18,BR,1684016210
240,turan,16.0678,108.2208,25.99,83,75,0.51,VN,1684016193
241,hami,42.8,93.45,19.8,22,20,4.45,CN,1684015831
242,holualoa,19.6228,-155.9522,26.97,75,40,4.12,US,1684015645
243,robertsport,6.7533,-11.3686,27.96,84,100,4.11,LR,1684016211
244,luderitz,-26.6481,15.1594,13.5,63,1,7.56,NA,1684015863
245,porto belo,-27.1578,-48.5531,18.42,75,1,3.11,BR,1684016215
246,kismayo,-0.3582,42.5454,26.71,79,36,6.15,SO,1684016215
247,mahina,-17.5065,-149.489,29.87,66,20,4.12,PF,1684015989
248,nzega,-2.479,29.5564,13.49,96,91,1.68,RW,1684016215
249,shingu,33.7333,135.9833,16.22,95,100,1.25,JP,1684016216
250,balqash,46.8481,74.995,18.08,60,69,2.96,KZ,1684016216
251,bubaque,11.2833,-15.8333,26.19,81,87,8.29,GW,1684015959
252,ambovombe,-25.1667,46.0833,20.57,90,17,0.32,MG,1684016216
253,badger,64.8,-147.5333,19.44,32,40,6.17,US,1684015896
254,lorengau,-2.0226,147.2712,28.05,76,18,0.18,PG,1684016038
255,flying fish cove,-10.4217,105.6791,26.82,78,40,5.14,CX,1684015834
256,nizhnyaya omka,55.4338,74.9426,2.79,91,100,5.84,RU,1684016219
257,acapulco de juarez,16.8634,-99.8901,30.9,62,20,5.14,MX,1684015734
258,togur,58.3631,82.8265,-1.93,51,7,2.2,RU,1684016219
259,beberibe,-4.1797,-38.1306,25.92,83,56,3.94,BR,1684016220
